year,week,rank,team,record,scraped_at
2014,Week 11,10,Notre Dame,7-1,2025-08-09T09:51:18.306225
2014,Week 11,11,Mississippi,7-2,2025-08-09T09:51:18.306320
2014,Week 11,12,Baylor,7-1,2025-08-09T09:51:18.306415
2014,Week 11,13,Nebraska,8-1,2025-08-09T09:51:18.306509
2014,Week 11,14,Ohio State,7-1,2025-08-09T09:51:18.306604
2014,Week 11,15,Oklahoma,6-2,2025-08-09T09:51:18.306697
2014,Week 11,16,LSU,7-2,2025-08-09T09:51:18.306792
2014,Week 11,17,Utah,6-2,2025-08-09T09:51:18.306886
2014,Week 11,18,UCLA,7-2,2025-08-09T09:51:18.306982
2014,Week 11,19,Arizona,6-2,2025-08-09T09:51:18.307076
2014,Week 11,20,Georgia,6-2,2025-08-09T09:51:18.307169
2014,Week 11,21,Clemson,6-2,2025-08-09T09:51:18.307263
2014,Week 11,22,Duke,7-1,2025-08-09T09:51:18.307357
2014,Week 11,23,West Virginia,6-3,2025-08-09T09:51:18.307451
2014,Week 11,24,Georgia Tech,7-2,2025-08-09T09:51:18.307546
2014,Week 11,25,Wisconsin,6-2,2025-08-09T09:51:18.307641
2014,Week 12,1,Mississippi State,9-0,2025-08-09T09:51:07.945127
2014,Week 12,2,Oregon,9-1,2025-08-09T09:51:07.945214
2014,Week 12,3,Florida State,9-0,2025-08-09T09:51:07.945290
2014,Week 12,4,TCU,8-1,2025-08-09T09:51:07.945364
2014,Week 12,5,Alabama,8-1,2025-08-09T09:51:07.945437
2014,Week 12,6,Arizona State,8-1,2025-08-09T09:51:07.945510
2014,Week 12,7,Baylor,8-1,2025-08-09T09:51:07.945582
2014,Week 12,8,Ohio State,8-1,2025-08-09T09:51:07.945654
2014,Week 12,9,Auburn,7-2,2025-08-09T09:51:07.945726
2014,Week 12,10,Mississippi,8-2,2025-08-09T09:51:07.945799
2014,Week 12,11,UCLA,8-2,2025-08-09T09:51:07.945870
2014,Week 12,12,Michigan State,7-2,2025-08-09T09:51:07.945942
2014,Week 12,13,Kansas State,7-2,2025-08-09T09:51:07.946015
2014,Week 12,14,Arizona,7-2,2025-08-09T09:51:07.946089
2014,Week 12,15,Georgia,7-2,2025-08-09T09:51:07.946163
2014,Week 12,16,Nebraska,8-1,2025-08-09T09:51:07.946235
2014,Week 12,17,LSU,7-3,2025-08-09T09:51:07.946307
2014,Week 12,18,Notre Dame,7-2,2025-08-09T09:51:07.946379
2014,Week 12,19,Clemson,7-2,2025-08-09T09:51:07.946451
2014,Week 12,20,Wisconsin,7-2,2025-08-09T09:51:07.946524
2014,Week 12,21,Duke,8-1,2025-08-09T09:51:07.946596
2014,Week 12,22,Georgia Tech,8-2,2025-08-09T09:51:07.946668
2014,Week 12,23,Utah,6-3,2025-08-09T09:51:07.946741
2014,Week 12,24,Texas A&M,7-3,2025-08-09T09:51:07.946813
2014,Week 12,25,Minnesota,7-2,2025-08-09T09:51:07.946885
2014,Week 13,1,Alabama,9-1,2025-08-09T09:50:57.632879
2014,Week 13,2,Oregon,9-1,2025-08-09T09:50:57.632967
2014,Week 13,3,Florida State,10-0,2025-08-09T09:50:57.633044
2014,Week 13,4,Mississippi State,9-1,2025-08-09T09:50:57.633120
2014,Week 13,5,TCU,9-1,2025-08-09T09:50:57.633194
2014,Week 13,6,Ohio State,9-1,2025-08-09T09:50:57.633268
2014,Week 13,7,Baylor,8-1,2025-08-09T09:50:57.633342
2014,Week 13,8,Mississippi,8-2,2025-08-09T09:50:57.633414
2014,Week 13,9,UCLA,8-2,2025-08-09T09:50:57.633486
2014,Week 13,10,Georgia,8-2,2025-08-09T09:50:57.633558
2014,Week 13,11,Michigan State,8-2,2025-08-09T09:50:57.633630
2014,Week 13,12,Kansas State,7-2,2025-08-09T09:50:57.633702
2014,Week 13,13,Arizona State,8-2,2025-08-09T09:50:57.633775
2014,Week 13,14,Auburn,7-3,2025-08-09T09:50:57.633847
2014,Week 13,15,Arizona,8-2,2025-08-09T09:50:57.633919
2014,Week 13,16,Wisconsin,8-2,2025-08-09T09:50:57.633991
2014,Week 13,17,Utah,7-3,2025-08-09T09:50:57.634063
2014,Week 13,18,Georgia Tech,9-2,2025-08-09T09:50:57.634136
2014,Week 13,19,Southern California,7-3,2025-08-09T09:50:57.634208
2014,Week 13,20,Missouri,8-2,2025-08-09T09:50:57.634281
2014,Week 13,21,Oklahoma,7-3,2025-08-09T09:50:57.634353
2014,Week 13,22,Clemson,7-3,2025-08-09T09:50:57.634425
2014,Week 13,23,Nebraska,8-2,2025-08-09T09:50:57.634498
2014,Week 13,24,Louisville,7-3,2025-08-09T09:50:57.634570
2014,Week 13,25,Minnesota,7-3,2025-08-09T09:50:57.634642
2014,Week 14,1,Alabama,10-1,2025-08-09T09:50:47.321636
2014,Week 14,2,Oregon,10-1,2025-08-09T09:50:47.321726
2014,Week 14,3,Florida State,11-0,2025-08-09T09:50:47.321806
2014,Week 14,4,Mississippi State,10-1,2025-08-09T09:50:47.321884
2014,Week 14,5,TCU,9-1,2025-08-09T09:50:47.321962
2014,Week 14,6,Ohio State,10-1,2025-08-09T09:50:47.322039
2014,Week 14,7,Baylor,9-1,2025-08-09T09:50:47.322116
2014,Week 14,8,UCLA,9-2,2025-08-09T09:50:47.322193
2014,Week 14,9,Georgia,9-2,2025-08-09T09:50:47.322269
2014,Week 14,10,Michigan State,9-2,2025-08-09T09:50:47.322346
2014,Week 14,11,Arizona,9-2,2025-08-09T09:50:47.322423
2014,Week 14,12,Kansas State,8-2,2025-08-09T09:50:47.322499
2014,Week 14,13,Arizona State,9-2,2025-08-09T09:50:47.322575
2014,Week 14,14,Wisconsin,9-2,2025-08-09T09:50:47.322652
2014,Week 14,15,Auburn,8-3,2025-08-09T09:50:47.322729
2014,Week 14,16,Georgia Tech,9-2,2025-08-09T09:50:47.322804
2014,Week 14,17,Missouri,9-2,2025-08-09T09:50:47.322880
2014,Week 14,18,Minnesota,8-3,2025-08-09T09:50:47.322956
2014,Week 14,19,Mississippi,8-3,2025-08-09T09:50:47.323033
2014,Week 14,20,Oklahoma,8-3,2025-08-09T09:50:47.323109
2014,Week 14,21,Clemson,8-3,2025-08-09T09:50:47.323185
2014,Week 14,22,Louisville,8-3,2025-08-09T09:50:47.323263
2014,Week 14,23,Boise State,9-2,2025-08-09T09:50:47.323341
2014,Week 14,24,Marshall,11-0,2025-08-09T09:50:47.323418
2014,Week 14,25,Utah,7-4,2025-08-09T09:50:47.323494
2014,Week 15,1,Alabama,11-1,2025-08-09T09:50:37.044129
2014,Week 15,2,Oregon,11-1,2025-08-09T09:50:37.044215
2014,Week 15,3,TCU,10-1,2025-08-09T09:50:37.044289
2014,Week 15,4,Florida State,12-0,2025-08-09T09:50:37.044362
2014,Week 15,5,Ohio State,11-1,2025-08-09T09:50:37.044434
2014,Week 15,6,Baylor,10-1,2025-08-09T09:50:37.044507
2014,Week 15,7,Arizona,10-2,2025-08-09T09:50:37.044579
2014,Week 15,8,Michigan State,10-2,2025-08-09T09:50:37.044653
2014,Week 15,9,Kansas State,9-2,2025-08-09T09:50:37.044726
2014,Week 15,10,Mississippi State,10-2,2025-08-09T09:50:37.044799
2014,Week 15,11,Georgia Tech,10-2,2025-08-09T09:50:37.044872
2014,Week 15,12,Mississippi,9-3,2025-08-09T09:50:37.044944
2014,Week 15,13,Wisconsin,10-2,2025-08-09T09:50:37.045017
2014,Week 15,14,Georgia,9-3,2025-08-09T09:50:37.045088
2014,Week 15,15,UCLA,9-3,2025-08-09T09:50:37.045161
2014,Week 15,16,Missouri,10-2,2025-08-09T09:50:37.045232
2014,Week 15,17,Arizona State,9-3,2025-08-09T09:50:37.045304
2014,Week 15,18,Clemson,9-3,2025-08-09T09:50:37.045375
2014,Week 15,19,Auburn,8-4,2025-08-09T09:50:37.045447
2014,Week 15,20,Oklahoma,8-3,2025-08-09T09:50:37.045519
2014,Week 15,21,Louisville,9-3,2025-08-09T09:50:37.045590
2014,Week 15,22,Boise State,10-2,2025-08-09T09:50:37.045666
2014,Week 15,23,Utah,8-4,2025-08-09T09:50:37.045738
2014,Week 15,24,LSU,8-4,2025-08-09T09:50:37.045810
2014,Week 15,25,Southern California,8-4,2025-08-09T09:50:37.045882
2015,Week 10,1,Clemson,9-0,2025-08-09T09:50:15.218256
2015,Week 10,2,Alabama,8-1,2025-08-09T09:50:15.218349
2015,Week 10,3,Ohio State,9-0,2025-08-09T09:50:15.218432
2015,Week 10,4,Notre Dame,8-1,2025-08-09T09:50:15.218513
2015,Week 10,5,Iowa,9-0,2025-08-09T09:50:15.218593
2015,Week 10,6,Baylor,8-0,2025-08-09T09:50:15.218672
2015,Week 10,7,Stanford,8-1,2025-08-09T09:50:15.218755
2015,Week 10,8,Oklahoma State,9-0,2025-08-09T09:50:15.218834
2015,Week 10,9,LSU,7-1,2025-08-09T09:50:15.218912
2015,Week 10,10,Utah,8-1,2025-08-09T09:50:15.219091
2015,Week 10,11,Florida,8-1,2025-08-09T09:50:15.219243
2015,Week 10,12,Oklahoma,8-1,2025-08-09T09:50:15.219322
2015,Week 10,13,Michigan State,8-1,2025-08-09T09:50:15.219401
2015,Week 10,14,Michigan,7-2,2025-08-09T09:50:15.219481
2015,Week 10,15,TCU,8-1,2025-08-09T09:50:15.219560
2015,Week 10,16,Florida State,7-2,2025-08-09T09:50:15.219639
2015,Week 10,17,Mississippi State,7-2,2025-08-09T09:50:15.219719
2015,Week 10,18,Northwestern,7-2,2025-08-09T09:50:15.219798
2015,Week 10,19,UCLA,7-2,2025-08-09T09:50:15.219876
2015,Week 10,20,Navy,7-1,2025-08-09T09:50:15.219955
2015,Week 10,21,Memphis,8-1,2025-08-09T09:50:15.220032
2015,Week 10,22,Temple,8-1,2025-08-09T09:50:15.220111
2015,Week 10,23,North Carolina,8-1,2025-08-09T09:50:15.220190
2015,Week 10,24,Houston,9-0,2025-08-09T09:50:15.220269
2015,Week 10,25,Wisconsin,8-2,2025-08-09T09:50:15.220346
2015,Week 11,1,Clemson,10-0,2025-08-09T09:50:04.909252
2015,Week 11,2,Alabama,9-1,2025-08-09T09:50:04.909338
2015,Week 11,3,Ohio State,10-0,2025-08-09T09:50:04.909412
2015,Week 11,4,Notre Dame,9-1,2025-08-09T09:50:04.909485
2015,Week 11,5,Iowa,10-0,2025-08-09T09:50:04.909558
2015,Week 11,6,Oklahoma State,10-0,2025-08-09T09:50:04.909631
2015,Week 11,7,Oklahoma,9-1,2025-08-09T09:50:04.909703
2015,Week 11,8,Florida,9-1,2025-08-09T09:50:04.909775
2015,Week 11,9,Michigan State,9-1,2025-08-09T09:50:04.909848
2015,Week 11,10,Baylor,8-1,2025-08-09T09:50:04.909921
2015,Week 11,11,Stanford,8-2,2025-08-09T09:50:04.909992
2015,Week 11,12,Michigan,8-2,2025-08-09T09:50:04.910063
2015,Week 11,13,Utah,8-2,2025-08-09T09:50:04.910136
2015,Week 11,14,Florida State,8-2,2025-08-09T09:50:04.910208
2015,Week 11,15,LSU,7-2,2025-08-09T09:50:04.910280
2015,Week 11,16,Navy,8-1,2025-08-09T09:50:04.910352
2015,Week 11,17,North Carolina,9-1,2025-08-09T09:50:04.910423
2015,Week 11,18,TCU,9-1,2025-08-09T09:50:04.910554
2015,Week 11,19,Houston,10-0,2025-08-09T09:50:04.910661
2015,Week 11,20,Northwestern,8-2,2025-08-09T09:50:04.910748
2015,Week 11,21,Memphis,8-2,2025-08-09T09:50:04.910819
2015,Week 11,22,Mississippi,7-3,2025-08-09T09:50:04.910891
2015,Week 11,23,Oregon,7-3,2025-08-09T09:50:04.910964
2015,Week 11,24,Southern California,7-3,2025-08-09T09:50:04.911037
2015,Week 11,25,Wisconsin,8-2,2025-08-09T09:50:04.911110
2015,Week 12,1,Clemson,11-0,2025-08-09T09:49:54.609986
2015,Week 12,2,Alabama,10-1,2025-08-09T09:49:54.610078
2015,Week 12,3,Oklahoma,10-1,2025-08-09T09:49:54.610159
2015,Week 12,4,Iowa,11-0,2025-08-09T09:49:54.610239
2015,Week 12,5,Michigan State,10-1,2025-08-09T09:49:54.610318
2015,Week 12,6,Notre Dame,10-1,2025-08-09T09:49:54.610396
2015,Week 12,7,Baylor,9-1,2025-08-09T09:49:54.610474
2015,Week 12,8,Ohio State,10-1,2025-08-09T09:49:54.610554
2015,Week 12,9,Stanford,9-2,2025-08-09T09:49:54.610632
2015,Week 12,10,Michigan,9-2,2025-08-09T09:49:54.610754
2015,Week 12,11,Oklahoma State,10-1,2025-08-09T09:49:54.610834
2015,Week 12,12,Florida,10-1,2025-08-09T09:49:54.610913
2015,Week 12,13,Florida State,9-2,2025-08-09T09:49:54.610992
2015,Week 12,14,North Carolina,10-1,2025-08-09T09:49:54.611071
2015,Week 12,15,Navy,9-1,2025-08-09T09:49:54.611149
2015,Week 12,16,Northwestern,9-2,2025-08-09T09:49:54.611228
2015,Week 12,17,Oregon,8-3,2025-08-09T09:49:54.611306
2015,Week 12,18,Mississippi,8-3,2025-08-09T09:49:54.611385
2015,Week 12,19,TCU,9-2,2025-08-09T09:49:54.611465
2015,Week 12,20,Washington State,8-3,2025-08-09T09:49:54.611544
2015,Week 12,21,Mississippi State,8-3,2025-08-09T09:49:54.611622
2015,Week 12,22,UCLA,8-3,2025-08-09T09:49:54.611774
2015,Week 12,23,Utah,8-3,2025-08-09T09:49:54.611961
2015,Week 12,24,Toledo,9-1,2025-08-09T09:49:54.612046
2015,Week 12,25,Temple,9-2,2025-08-09T09:49:54.612172
2015,Week 13,1,Clemson,12-0,2025-08-09T09:49:44.310343
2015,Week 13,2,Alabama,11-1,2025-08-09T09:49:44.310482
2015,Week 13,3,Oklahoma,11-1,2025-08-09T09:49:44.310564
2015,Week 13,4,Iowa,12-0,2025-08-09T09:49:44.310679
2015,Week 13,5,Michigan State,11-1,2025-08-09T09:49:44.310826
2015,Week 13,6,Ohio State,11-1,2025-08-09T09:49:44.310971
2015,Week 13,7,Stanford,10-2,2025-08-09T09:49:44.311057
2015,Week 13,8,Notre Dame,10-2,2025-08-09T09:49:44.311164
2015,Week 13,9,Florida State,10-2,2025-08-09T09:49:44.311262
2015,Week 13,10,North Carolina,11-1,2025-08-09T09:49:44.311364
2015,Week 13,11,TCU,10-2,2025-08-09T09:49:44.311468
2015,Week 13,12,Baylor,9-2,2025-08-09T09:49:44.311608
2015,Week 13,13,Mississippi,9-3,2025-08-09T09:49:44.311690
2015,Week 13,14,Northwestern,10-2,2025-08-09T09:49:44.311790
2015,Week 13,15,Michigan,9-3,2025-08-09T09:49:44.311908
2015,Week 13,16,Oregon,9-3,2025-08-09T09:49:44.312033
2015,Week 13,17,Oklahoma State,10-2,2025-08-09T09:49:44.312181
2015,Week 13,18,Florida,10-2,2025-08-09T09:49:44.312267
2015,Week 13,19,Houston,11-1,2025-08-09T09:49:44.312383
2015,Week 13,20,Southern California,8-4,2025-08-09T09:49:44.312500
2015,Week 13,21,LSU,8-3,2025-08-09T09:49:44.312628
2015,Week 13,22,Temple,10-2,2025-08-09T09:49:44.312731
2015,Week 13,23,Navy,9-2,2025-08-09T09:49:44.312832
2015,Week 13,24,Utah,9-3,2025-08-09T09:49:44.312957
2015,Week 13,25,Tennessee,8-4,2025-08-09T09:49:44.313037
2015,Week 14,1,Clemson,13-0,2025-08-09T09:49:34.006477
2015,Week 14,2,Alabama,12-1,2025-08-09T09:49:34.006568
2015,Week 14,3,Michigan State,12-1,2025-08-09T09:49:34.006646
2015,Week 14,4,Oklahoma,11-1,2025-08-09T09:49:34.006723
2015,Week 14,5,Iowa,12-1,2025-08-09T09:49:34.006804
2015,Week 14,6,Stanford,11-2,2025-08-09T09:49:34.006882
2015,Week 14,7,Ohio State,11-1,2025-08-09T09:49:34.006959
2015,Week 14,8,Notre Dame,10-2,2025-08-09T09:49:34.007035
2015,Week 14,9,Florida State,10-2,2025-08-09T09:49:34.007112
2015,Week 14,10,North Carolina,11-2,2025-08-09T09:49:34.007189
2015,Week 14,11,TCU,10-2,2025-08-09T09:49:34.007319
2015,Week 14,12,Mississippi,9-3,2025-08-09T09:49:34.007461
2015,Week 14,13,Northwestern,10-2,2025-08-09T09:49:34.007538
2015,Week 14,14,Michigan,9-3,2025-08-09T09:49:34.007614
2015,Week 14,15,Oregon,9-3,2025-08-09T09:49:34.007690
2015,Week 14,16,Oklahoma State,10-2,2025-08-09T09:49:34.007768
2015,Week 14,17,Baylor,9-3,2025-08-09T09:49:34.007844
2015,Week 14,18,Houston,12-1,2025-08-09T09:49:34.007920
2015,Week 14,19,Florida,10-3,2025-08-09T09:49:34.007997
2015,Week 14,20,LSU,8-3,2025-08-09T09:49:34.008074
2015,Week 14,21,Navy,9-2,2025-08-09T09:49:34.008152
2015,Week 14,22,Utah,9-3,2025-08-09T09:49:34.008230
2015,Week 14,23,Tennessee,8-4,2025-08-09T09:49:34.008306
2015,Week 14,24,Temple,10-3,2025-08-09T09:49:34.008383
2015,Week 14,25,Southern California,8-5,2025-08-09T09:49:34.008464
2016,Week 10,1,Alabama,9-0,2025-08-09T09:49:10.003166
2016,Week 10,2,Clemson,9-0,2025-08-09T09:49:10.003250
2016,Week 10,3,Michigan,9-0,2025-08-09T09:49:10.003324
2016,Week 10,4,Washington,9-0,2025-08-09T09:49:10.003397
2016,Week 10,5,Ohio State,8-1,2025-08-09T09:49:10.003469
2016,Week 10,6,Louisville,8-1,2025-08-09T09:49:10.003542
2016,Week 10,7,Wisconsin,7-2,2025-08-09T09:49:10.003615
2016,Week 10,8,Texas A&M,7-2,2025-08-09T09:49:10.003688
2016,Week 10,9,Auburn,7-2,2025-08-09T09:49:10.003760
2016,Week 10,10,Penn State,7-2,2025-08-09T09:49:10.003833
2016,Week 10,11,Oklahoma,7-2,2025-08-09T09:49:10.003905
2016,Week 10,12,Colorado,7-2,2025-08-09T09:49:10.003977
2016,Week 10,13,Oklahoma State,7-2,2025-08-09T09:49:10.004088
2016,Week 10,14,Virginia Tech,7-2,2025-08-09T09:49:10.004228
2016,Week 10,15,Utah,7-2,2025-08-09T09:49:10.004317
2016,Week 10,16,West Virginia,7-1,2025-08-09T09:49:10.004393
2016,Week 10,17,North Carolina,7-2,2025-08-09T09:49:10.004580
2016,Week 10,18,Florida State,6-3,2025-08-09T09:49:10.004667
2016,Week 10,19,Nebraska,7-2,2025-08-09T09:49:10.004739
2016,Week 10,20,Southern California,6-3,2025-08-09T09:49:10.004810
2016,Week 10,21,Western Michigan,9-0,2025-08-09T09:49:10.004881
2016,Week 10,22,Boise State,8-1,2025-08-09T09:49:10.004952
2016,Week 10,23,Washington State,7-2,2025-08-09T09:49:10.005025
2016,Week 10,24,LSU,5-3,2025-08-09T09:49:10.005097
2016,Week 10,25,Arkansas,6-3,2025-08-09T09:49:10.005170
2016,Week 11,1,Alabama,10-0,2025-08-09T09:48:59.582736
2016,Week 11,2,Ohio State,9-1,2025-08-09T09:48:59.582826
2016,Week 11,3,Michigan,9-1,2025-08-09T09:48:59.582958
2016,Week 11,4,Clemson,9-1,2025-08-09T09:48:59.583038
2016,Week 11,5,Louisville,9-1,2025-08-09T09:48:59.583115
2016,Week 11,6,Washington,9-1,2025-08-09T09:48:59.583191
2016,Week 11,7,Wisconsin,8-2,2025-08-09T09:48:59.583268
2016,Week 11,8,Penn State,8-2,2025-08-09T09:48:59.583344
2016,Week 11,9,Oklahoma,8-2,2025-08-09T09:48:59.583420
2016,Week 11,10,Colorado,8-2,2025-08-09T09:48:59.583495
2016,Week 11,11,Oklahoma State,8-2,2025-08-09T09:48:59.583573
2016,Week 11,12,Utah,8-2,2025-08-09T09:48:59.583650
2016,Week 11,13,Southern California,7-3,2025-08-09T09:48:59.583727
2016,Week 11,14,West Virginia,8-1,2025-08-09T09:48:59.583803
2016,Week 11,15,Auburn,7-3,2025-08-09T09:48:59.583880
2016,Week 11,16,LSU,6-3,2025-08-09T09:48:59.583956
2016,Week 11,17,Florida State,7-3,2025-08-09T09:48:59.584033
2016,Week 11,18,Nebraska,8-2,2025-08-09T09:48:59.584109
2016,Week 11,19,Tennessee,7-3,2025-08-09T09:48:59.584185
2016,Week 11,20,Boise State,9-1,2025-08-09T09:48:59.584260
2016,Week 11,21,Western Michigan,10-0,2025-08-09T09:48:59.584337
2016,Week 11,22,Washington State,8-2,2025-08-09T09:48:59.584414
2016,Week 11,23,Florida,7-2,2025-08-09T09:48:59.584490
2016,Week 11,24,Stanford,7-3,2025-08-09T09:48:59.584566
2016,Week 11,25,Texas A&M,7-3,2025-08-09T09:48:59.584642
2016,Week 12,1,Alabama,11-0,2025-08-09T09:48:49.286834
2016,Week 12,2,Ohio State,10-1,2025-08-09T09:48:49.286926
2016,Week 12,3,Michigan,10-1,2025-08-09T09:48:49.287007
2016,Week 12,4,Clemson,10-1,2025-08-09T09:48:49.287086
2016,Week 12,5,Washington,10-1,2025-08-09T09:48:49.287166
2016,Week 12,6,Wisconsin,9-2,2025-08-09T09:48:49.287245
2016,Week 12,7,Penn State,9-2,2025-08-09T09:48:49.287324
2016,Week 12,8,Oklahoma,9-2,2025-08-09T09:48:49.287403
2016,Week 12,9,Colorado,9-2,2025-08-09T09:48:49.287482
2016,Week 12,10,Oklahoma State,9-2,2025-08-09T09:48:49.287560
2016,Week 12,11,Louisville,9-2,2025-08-09T09:48:49.287639
2016,Week 12,12,Southern California,8-3,2025-08-09T09:48:49.287718
2016,Week 12,13,Auburn,8-3,2025-08-09T09:48:49.287832
2016,Week 12,14,Florida State,8-3,2025-08-09T09:48:49.287967
2016,Week 12,15,Florida,8-2,2025-08-09T09:48:49.288066
2016,Week 12,16,Nebraska,9-2,2025-08-09T09:48:49.288148
2016,Week 12,17,Tennessee,8-3,2025-08-09T09:48:49.288227
2016,Week 12,18,West Virginia,8-2,2025-08-09T09:48:49.288359
2016,Week 12,19,Boise State,10-1,2025-08-09T09:48:49.288441
2016,Week 12,20,Houston,9-2,2025-08-09T09:48:49.288521
2016,Week 12,21,Western Michigan,11-0,2025-08-09T09:48:49.288602
2016,Week 12,22,Utah,8-3,2025-08-09T09:48:49.288682
2016,Week 12,23,Washington State,8-3,2025-08-09T09:48:49.288782
2016,Week 12,24,Stanford,8-3,2025-08-09T09:48:49.288881
2016,Week 12,25,Navy,8-2,2025-08-09T09:48:49.288962
2016,Week 13,1,Alabama,12-0,2025-08-09T09:48:38.955316
2016,Week 13,2,Ohio State,11-1,2025-08-09T09:48:38.955410
2016,Week 13,3,Clemson,11-1,2025-08-09T09:48:38.955493
2016,Week 13,4,Washington,11-1,2025-08-09T09:48:38.955574
2016,Week 13,5,Michigan,10-2,2025-08-09T09:48:38.955654
2016,Week 13,6,Wisconsin,10-2,2025-08-09T09:48:38.955735
2016,Week 13,7,Penn State,10-2,2025-08-09T09:48:38.955814
2016,Week 13,8,Colorado,10-2,2025-08-09T09:48:38.955894
2016,Week 13,9,Oklahoma,9-2,2025-08-09T09:48:38.955973
2016,Week 13,10,Oklahoma State,9-2,2025-08-09T09:48:38.956052
2016,Week 13,11,Southern California,9-3,2025-08-09T09:48:38.956131
2016,Week 13,12,Florida State,9-3,2025-08-09T09:48:38.956210
2016,Week 13,13,Louisville,9-3,2025-08-09T09:48:38.956290
2016,Week 13,14,Auburn,8-4,2025-08-09T09:48:38.956369
2016,Week 13,15,Florida,8-3,2025-08-09T09:48:38.956449
2016,Week 13,16,West Virginia,9-2,2025-08-09T09:48:38.956529
2016,Week 13,17,Western Michigan,12-0,2025-08-09T09:48:38.956608
2016,Week 13,18,Stanford,9-3,2025-08-09T09:48:38.956690
2016,Week 13,19,Navy,9-2,2025-08-09T09:48:38.956769
2016,Week 13,20,Utah,8-4,2025-08-09T09:48:38.956848
2016,Week 13,21,LSU,7-4,2025-08-09T09:48:38.956925
2016,Week 13,22,Tennessee,8-4,2025-08-09T09:48:38.957003
2016,Week 13,23,Virginia Tech,9-3,2025-08-09T09:48:38.957081
2016,Week 13,24,Houston,9-3,2025-08-09T09:48:38.957158
2016,Week 13,25,Pittsburgh,8-4,2025-08-09T09:48:38.957236
2016,Week 14,1,Alabama,13-0,2025-08-09T09:48:28.663596
2016,Week 14,2,Clemson,12-1,2025-08-09T09:48:28.663690
2016,Week 14,3,Ohio State,11-1,2025-08-09T09:48:28.663772
2016,Week 14,4,Washington,12-1,2025-08-09T09:48:28.663853
2016,Week 14,5,Penn State,11-2,2025-08-09T09:48:28.663934
2016,Week 14,6,Michigan,10-2,2025-08-09T09:48:28.664013
2016,Week 14,7,Oklahoma,10-2,2025-08-09T09:48:28.664092
2016,Week 14,8,Wisconsin,10-3,2025-08-09T09:48:28.664171
2016,Week 14,9,Southern California,9-3,2025-08-09T09:48:28.664250
2016,Week 14,10,Colorado,10-3,2025-08-09T09:48:28.664329
2016,Week 14,11,Florida State,9-3,2025-08-09T09:48:28.664408
2016,Week 14,12,Oklahoma State,9-3,2025-08-09T09:48:28.664487
2016,Week 14,13,Louisville,9-3,2025-08-09T09:48:28.664566
2016,Week 14,14,Auburn,8-4,2025-08-09T09:48:28.664645
2016,Week 14,15,Western Michigan,13-0,2025-08-09T09:48:28.664724
2016,Week 14,16,West Virginia,10-2,2025-08-09T09:48:28.664804
2016,Week 14,17,Florida,8-4,2025-08-09T09:48:28.664883
2016,Week 14,18,Stanford,9-3,2025-08-09T09:48:28.664963
2016,Week 14,19,Utah,8-4,2025-08-09T09:48:28.665043
